web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image_labels,REPLACED_LABELS,Ambience attributes,Human/ facial attributes,Objects/ animals,Product attributes,goal,Raised,people,time,updates,updates-href,createdby,today,no of days,shares
1543713166-1623,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/one-small-business-at-a-time,https://d2g8igdw686xgo.cloudfront.net/24061524_1506034486.7062.png,vehicle car automotive exterior,vehicle  vehicle  automotive exterior,0.00877193,0.00877193,0.973684211,0.00877193,20000,3059,36,Raised by 36 people in 14 months,   2,https://www.gofundme.com/one-small-business-at-a-time#updates,9/21/17,12/5/18,439,131
1543712095-1222,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/is-there-any-truth-left-in-the-business-of-living,https://d2g8igdw686xgo.cloudfront.net/34963774_1543527999351358_r.jpeg,face glasses chin eyebrow forehead nose head vision care cheek senior citizen,face glasses  people   people   people   people   people  vision  vehicle e  people  senior citizen,0.009615385,0.971153846,0.009615385,0.009615385,25000,0,0,Campaign created 2 days ago,0,,11/29/18,12/5/18,5,0
1543713752-1838,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/mudvg6-save-my-business,https://d2g8igdw686xgo.cloudfront.net/27600552_15191854210_r.jpg,senior citizen smile fun product friendship iris family grandparent,senior citizen  people  fun product friendship iris  people  grandparent,0.330645161,0.008064516,0.653225806,0.008064516,8000,1925,34,Raised by 34 people in 9 months,   14,https://www.gofundme.com/mudvg6-save-my-business#updates,2/8/18,12/5/18,299,117
1543713589-1777,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-maritha-get-her-business-back,https://d2g8igdw686xgo.cloudfront.net/23853160_1505324875.7622.jpg,disaster geological phenomenon earthquake hill station mountain natural disaster village tree,disaster geological phenomenon earthquake hill station mountain natural disaster village tree,0.753731343,0.007462687,0.007462687,0.231343284,5000,5275,29,Raised by 29 people in 14 months,   2,https://www.gofundme.com/help-maritha-get-her-business-back#updates,9/13/17,12/5/18,447,165
1543711986-1178,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/t4w9jd-business-opportunity,https://d2g8igdw686xgo.cloudfront.net/31234538_153134301811993_r.jpeg,nose eyebrow chin lip cheek close up mouth girl ear neck, people   people   people   people   people  close up mouth  people  ear neck,0.008064516,0.975806452,0.008064516,0.008064516,3500,0,0,Campaign created 4 months ago,0,,7/11/18,12/5/18,146,0
1543712372-1323,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-startup-costs-wyldefolk,https://d2g8igdw686xgo.cloudfront.net/27930762_fb_1519325998.9638_funds.jpg,wilderness mountainous landforms mountain outdoor recreation lake ridge hiking tree fell backpacking,wilderness mountainous landforms mountain outdoor recreation lake ridge hiking tree fell backpacking,0.006944444,0.006944444,0.631944444,0.354166667,1500,185,5,Raised by 5 people in 9 months,0,,2/22/18,12/5/18,285,33
1543712231-1275,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/charitybusiness-start-up,https://d2g8igdw686xgo.cloudfront.net/33756796_1539615165523249_r.jpeg,clothing sleeve t shirt sweatshirt product hoodie outerwear long sleeved t shirt font hood,clothing sleeve t shirt sweatshirt product hoodie outerwear long sleeved t shirt font hood,0.022727273,0.022727273,0.931818182,0.022727273,191,76,2,Raised by 2 people in 1 month,   2,https://www.gofundme.com/charitybusiness-start-up#updates,10/15/18,12/5/18,50,6
1543713286-1664,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/yxdtx-starting-my-own-business,https://d2g8igdw686xgo.cloudfront.net/26903664_15157724750_r.jpg,eyewear glasses vision care fashion accessory headgear sunglasses selfie photography smile girl, glasses  glasses vision  vehicle e fashion accessory  people gear sunglasses selfie photography  people   people ,0.006944444,0.979166667,0.006944444,0.006944444,2000,970,14,Raised by 14 people in 10 months,   2,https://www.gofundme.com/yxdtx-starting-my-own-business#updates,1/12/18,12/5/18,326,149
1543713836-1869,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-me-save-my-web-site-amp-business,https://d2g8igdw686xgo.cloudfront.net/32384054_1535064839546818_r.jpeg,dog dog like mammal mammal vertebrate dog breed product clip art carnivoran line font,dog dog like mammal mammal vertebrate dog breed product c people  art  vehicle nivoran line font,0.968085106,0.010638298,0.010638298,0.010638298,5000,1080,10,Raised by 10 people in 3 months,0,,8/23/18,12/5/18,103,37
1543712068-1211,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ww32su-business-startup,https://d2g8igdw686xgo.cloudfront.net/34713968_1543686876719619_r.jpg,hair head hairstyle forehead child daughter ear product girl smile, _people   people   _people style  people   people  daughter ear product  people   people ,0.018518519,0.018518519,0.018518519,0.944444444,5777,0,0,Campaign created 11 days ago,0,,11/20/18,12/5/18,14,24
1543712801-1488,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/homestead-and-business,https://d2g8igdw686xgo.cloudfront.net/32793874_1536374419570110_r.jpeg,fauna mammal pig like mammal pig snout organism domestic pig grass wildlife,fauna mammal pig like mammal pig snout organism domestic pig grass wildlife,0.944444444,0.018518519,0.018518519,0.018518519,30000,90,4,Raised by 4 people in 2 months,   1,https://www.gofundme.com/homestead-and-business#updates,9/7/18,12/5/18,88,76
1543713107-1600,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/bgsaa-business-warming,https://d2g8igdw686xgo.cloudfront.net/30339306_1528997169835712_r.jpg,product product tent brand angle,product product tent brand angle,0.011904762,0.25,0.607142857,0.130952381,644,505,29,Raised by 29 people in 6 months,   1,https://www.gofundme.com/bgsaa-business-warming#updates,6/3/18,12/5/18,184,167
1543713042-1574,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-danyel-start-her-own-business,https://d2g8igdw686xgo.cloudfront.net/25111390_1509731259.7683.jpg,text art drawing font design paper hand artwork sketch paper product,text art drawing font design paper hand artwork sketch paper product,0.983695652,0.005434783,0.005434783,0.005434783,4500,1360,19,Raised by 19 people in 13 months,   5,https://www.gofundme.com/help-danyel-start-her-own-business#updates,11/3/17,12/5/18,396,206
1543712295-1298,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/women039s-small-business-in-haiti,https://d2g8igdw686xgo.cloudfront.net/30164126_15273498550_r.jpg,plant community tree recreation crowd,plant community tree recreation crowd,0.875,0.041666667,0.041666667,0.041666667,500,660,4,Raised by 4 people in 6 months,   1,https://www.gofundme.com/women039s-small-business-in-haiti#updates,5/26/18,12/5/18,192,19
1543711657-1063,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/lauren039s-killing-cancer-fund,https://d2g8igdw686xgo.cloudfront.net/31612410_1532519998634969_r.jpeg,patient hospital health care service medical product girl,patient hospital health  vehicle e service medical product  people ,0.018518519,0.944444444,0.018518519,0.018518519,90000,74525,379,Raised by 379 people in 4 months,   3,https://www.gofundme.com/lauren039s-killing-cancer-fund#updates,7/25/18,12/5/18,132,1600
1543713464-1730,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/uv7n3j-help-us-grow-our-business,https://d2g8igdw686xgo.cloudfront.net/32384778_1535066741280279_r.jpeg,camera cameras & optics digital camera single lens reflex camera photographer digital slr reflex camera photography camera lens product,camera cameras & optics digital camera single lens reflex camera photographer digital slr reflex camera photography camera lens product,0.005434783,0.114130435,0.711956522,0.168478261,4000,255,10,Raised by 10 people in 3 months,   1,https://www.gofundme.com/uv7n3j-help-us-grow-our-business#updates,8/23/18,12/5/18,103,127
1543711680-1071,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/keep-once-upon-a-crime-books-open,https://d2g8igdw686xgo.cloudfront.net/31026890_1542998531878086_r.jpeg,window recreation,window recreation,0.971153846,0.009615385,0.009615385,0.009615385,50000,18274,279,Raised by 279 people in 5 days,0,,11/26/18,12/5/18,8,1200
1543713140-1613,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/laptop-for-reggies-business,https://d2g8igdw686xgo.cloudfront.net/26966234_1515980053.379.jpg,facial hair forehead beard moustache, people   _people   people  beard moustache,0.029411765,0.029411765,0.029411765,0.911764706,300,80,5,Raised by 5 people in 10 months,   2,https://www.gofundme.com/laptop-for-reggies-business#updates,1/14/18,12/5/18,324,50
1543713923-1902,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/melinda-needs-car-help,https://d2g8igdw686xgo.cloudfront.net/23803336_1505182058.2435.jpg,cat line art white mammal small to medium sized cats cat like mammal vertebrate nose head dog like mammal,cat line art white mammal small to medium sized cats cat like mammal vertebrate  people   people  dog like mammal,0.148648649,0.013513514,0.824324324,0.013513514,5000,4815,105,Raised by 105 people in 14 months,   1,https://www.gofundme.com/melinda-needs-car-help#updates,9/11/17,12/5/18,449,86
1543712524-1382,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/cj4cv-help-me-start-my-dream-business,https://d2g8igdw686xgo.cloudfront.net/27050832_15175796660_r.jpg,winter people snow photograph fun freezing vacation tree family girl,winter people snow photograph fun freezing vacation tree  people   people ,0.572580645,0.008064516,0.411290323,0.008064516,5000,330,7,Raised by 7 people in 10 months,   3,https://www.gofundme.com/cj4cv-help-me-start-my-dream-business#updates,1/17/18,12/5/18,321,64
1543712994-1560,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/gonzalez039s-family-business-looting,https://d2g8igdw686xgo.cloudfront.net/30322622_15279515460_r.jpeg,product product inventory,product product inventory,0.006944444,0.493055556,0.493055556,0.006944444,20000,652,22,Raised by 22 people in 6 months,0,,6/2/18,12/5/18,185,172
1543713879-1886,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/bready-delights-rebuild-business,https://d2g8igdw686xgo.cloudfront.net/30730140_1529505043495179_r.jpg,motor vehicle vehicle fireman school bus car,motor vehicle vehicle fire people  school bus  vehicle ,0.018518519,0.018518519,0.018518519,0.944444444,1143,1067,43,Raised by 43 people in 5 months,   4,https://www.gofundme.com/bready-delights-rebuild-business#updates,6/20/18,12/5/18,167,177
1543713378-1697,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5cpnats,https://d2g8igdw686xgo.cloudfront.net/28843028_15234993250_r.jpg,vehicle shed scrap metal tree,vehicle shed scrap metal tree,0.323529412,0.617647059,0.029411765,0.029411765,10000,1985,30,Raised by 30 people in 7 months,   3,https://www.gofundme.com/5cpnats#updates,4/5/18,12/5/18,243,282
1543713123-1606,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/gf-me-u-inifrq,https://d2g8igdw686xgo.cloudfront.net/29934728_15265074900_r.jpeg,mode of transport lawn grass tree soil land lot plant landscape vehicle pasture,mode of transport lawn grass tree soil land lot plant landscape vehicle pasture,0.015625,0.015625,0.171875,0.796875,5000,800,12,Raised by 12 people in 6 months,   1,https://www.gofundme.com/gf-me-u-inifrq#updates,5/16/18,12/5/18,202,147
1543712111-1229,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/college-student-craft-business,https://d2g8igdw686xgo.cloudfront.net/35008136_1543686683825928_r.jpeg,black black and white rabbit rabits and hares mammal domestic rabbit fauna rat monochrome photography snout,black black and white rabbit rabits and hares mammal domestic rabbit fauna rat monochrome photography snout,0.859756098,0.006097561,0.006097561,0.12804878,1000,0,0,Campaign created 6 hours ago,0,,12/1/18,12/5/18,3,0
1543712328-1311,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/buy-my-burger-vanstart-my-business,https://d2g8igdw686xgo.cloudfront.net/34143032_1543691278101704_r.jpg,powdered sugar baking cup food,powdered sugar baking cup food,0.041666667,0.875,0.041666667,0.041666667,635,197,8,Raised by 8 people in 1 month,   11,https://www.gofundme.com/buy-my-burger-vanstart-my-business#updates,10/31/18,12/5/18,34,79
1543713184-1629,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-child-start-business-dream,https://d2g8igdw686xgo.cloudfront.net/24241534_15065652470_r.jpg,hairstyle forehead, _people style  people ,0.007462687,0.007462687,0.156716418,0.828358209,889,673,29,Raised by 29 people in 14 months,   2,https://www.gofundme.com/help-child-start-business-dream#updates,9/27/17,12/5/18,433,179
1543713181-1628,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/comfrey-magic-business-start-up,https://d2g8igdw686xgo.cloudfront.net/28540022_15215910780_r.jpeg,liqueur distilled beverage drink bottle alcoholic beverage alcohol nail finger product wine,liqueur distilled beverage drink bottle alcoholic beverage alcohol nail finger product wine,0.013513514,0.013513514,0.013513514,0.959459459,2500,791,18,Raised by 18 people in 8 months,   1,https://www.gofundme.com/comfrey-magic-business-start-up#updates,3/21/18,12/5/18,258,353
1543713095-1595,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/srnp3-business-recovery,https://d2g8igdw686xgo.cloudfront.net/31338174_1531678766301151_r.jpeg,0,0, , , , ,12000,495,6,Raised by 6 people in 4 months,   1,https://www.gofundme.com/srnp3-business-recovery#updates,7/15/18,12/5/18,142,90
1543712193-1261,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/building-business-from-ground-up,https://d2g8igdw686xgo.cloudfront.net/30282066_1529084804238516_r.jpg,mug text cup font drinkware brand tableware,mug text cup font drinkware brand tableware,0.088709677,0.008064516,0.89516129,0.008064516,6350,44,3,Raised by 3 people in 6 months,0,,5/31/18,12/5/18,187,0
1543713271-1658,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/photography-business-equipment,https://d2g8igdw686xgo.cloudfront.net/26328088_1513620507.6398.jpg,hair photograph facial expression beauty human hair color girl smile lady photography blond, _people  photograph  people  expression beauty  people   _people  color  people   people  lady photography blond,0.203703704,0.018518519,0.759259259,0.018518519,2000,1515,31,Raised by 31 people in 11 months,   2,https://www.gofundme.com/photography-business-equipment#updates,12/18/17,12/5/18,351,209
1543712496-1371,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/49k6r0g,https://d2g8igdw686xgo.cloudfront.net/22983248_15026326710_r.jpg,text font purple logo signage brand graphic design advertising magenta label,text font purple logo signage brand graphic design advertising magenta label,0.00877193,0.00877193,0.00877193,0.973684211,1200,1225,3,Raised by 3 people in 15 months,0,,8/13/17,12/5/18,478,65
1543713765-1843,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/saveAscendFlowarts,https://d2g8igdw686xgo.cloudfront.net/34750584_154298421039427_r.jpeg,performing arts performance pole dance dancer performance art entertainment aerialist leg human body event,performing arts perfor people ce pole dance dancer perfor people ce art entertainment aerialist leg  people  body event,0.455223881,0.007462687,0.529850746,0.007462687,2500,835,12,Raised by 12 people in 8 days,0,,11/23/18,12/5/18,11,72
1543713560-1766,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/brittanysbusiness2018,https://d2g8igdw686xgo.cloudfront.net/27264164_1516946958.0147.jpg,graffiti art mural street art cool recreation,graffiti art mural street art cool recreation,0.00877193,0.00877193,0.00877193,0.973684211,200,150,6,Raised by 6 people in 10 months,0,,1/26/18,12/5/18,312,49
1543711973-1173,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5mpvj48,https://d2g8igdw686xgo.cloudfront.net/30340666_1537061232596697_r.jpg,text cartoon font art technology product graphic design design line area,text  vehicle toon font art technology product graphic design design line area,0.007462687,0.97761194,0.007462687,0.007462687,152400,0,0,Campaign created 4 months ago,0,,8/2/18,12/5/18,124,0
1543711596-1043,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6chegfs,https://d2g8igdw686xgo.cloudfront.net/34196822_15434581879871_r.jpg,grass cattle like mammal pasture farm tree dairy cow grazing plant ox meadow,grass cattle like mammal pasture farm tree dairy cow grazing plant ox meadow,0.015625,0.015625,0.171875,0.796875,60000,17465,139,Raised by 139 people in 28 days,   2,https://www.gofundme.com/6chegfs#updates,11/2/18,12/5/18,32,879
1543712090-1220,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6hfxxkg,https://d2g8igdw686xgo.cloudfront.net/34939100_1543688317710891_r.jpg,sky blue aqua azure turquoise daytime atmosphere line font computer wallpaper,sky blue aqua azure turquoise daytime atmosphere line font computer wallpaper,0.006493506,0.006493506,0.915584416,0.071428571,2000,0,0,Campaign created 2 days ago,0,,11/28/18,12/5/18,6,0
1543712003-1185,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/dz8t6k-candy-business,https://d2g8igdw686xgo.cloudfront.net/31653950_154364139391826_r.jpeg,eyebrow face lip cheek nose chin forehead human hair color head eyelash, people  face  people   people   people   people   people   people   _people  color  people  eyelash,0.00877193,0.973684211,0.00877193,0.00877193,7000,0,0,Campaign created 19 hours ago,0,,11/30/18,12/5/18,4,8
1543711745-1092,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Make-A-Wish-Skateboard-and-Wheelchair-event-with-lessons,https://d2g8igdw686xgo.cloudfront.net/30962392_1530294446494777_r.jpeg,advertising product graphic design recreation technology leisure amusement park graphics tourism holiday,advertising product graphic design recreation technology leisure amusement park graphics tourism holiday,0.006097561,0.006097561,0.920731707,0.067073171,3800,2139,27,Raised by 27 people in 5 months,   2,https://www.gofundme.com/Make-A-Wish-Skateboard-and-Wheelchair-event-with-lessons#updates,6/29/18,12/5/18,158,147
1543713695-1817,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/liverpool-business-needs-help,https://d2g8igdw686xgo.cloudfront.net/23410658_1504033536.4776.jpg,glasses eyebrow human hair color eyewear nose chin blond vision care forehead selfie,glasses  people   people   _people  color  glasses   people   people  blond vision  vehicle e  people  selfie,0.89516129,0.008064516,0.008064516,0.088709677,12000,770,11,Raised by 11 people in 15 months,0,,8/29/17,12/5/18,462,182
1543711970-1172,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/veteran-losing-his-business,https://d2g8igdw686xgo.cloudfront.net/30155368_15272968250_r.jpeg,dog dog like mammal dog breed maltese dog breed group havanese bichon snout puppy carnivoran,dog dog like mammal dog breed maltese dog breed group havanese bichon snout puppy  vehicle nivoran,0.00877193,0.00877193,0.00877193,0.973684211,8000,0,0,Campaign created 6 months ago,   1,https://www.gofundme.com/veteran-losing-his-business#updates,5/25/18,12/5/18,193,0
1543713391-1702,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/army-veteran039s-business-robbed,https://d2g8igdw686xgo.cloudfront.net/33719826_1539465513243858_r.jpeg,car vehicle motor vehicle mode of transport transport automotive exterior parking technology automotive tire sport utility vehicle, vehicle  vehicle motor vehicle mode of transport transport automotive exterior parking technology automotive tire sport utility vehicle,0.007462687,0.97761194,0.007462687,0.007462687,6000,3117,29,Raised by 29 people in 1 month,0,,10/13/18,12/5/18,52,304
1543712842-1504,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/mckee-brothers-business-startup,https://d2g8igdw686xgo.cloudfront.net/21240030_1497628185.5999.jpg,red shed structure architecture barn shipping container facade building real estate siding,red shed structure architecture barn shipping container facade building real estate siding,0.00877193,0.447368421,0.00877193,0.535087719,35000,940,9,Raised by 9 people in 17 months,0,,6/16/17,12/5/18,536,84
1543712204-1265,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/mjapu-opening-my-business,https://d2g8igdw686xgo.cloudfront.net/29255806_15258775190_r.jpg,hair human hair color nose eyebrow lip chin hairstyle selfie mouth black hair, _people   people   _people  color  people   people   people   people   _people style selfie mouth black  _people ,0.009615385,0.490384615,0.009615385,0.490384615,10000,10,1,Raised by 1 person in 7 months,0,,4/19/18,12/5/18,229,4
1543711501-1008,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ryan-benoit-memorial,https://d2g8igdw686xgo.cloudfront.net/34931036_1543441218954984_r.jpeg,yellow t shirt construction worker engineer recreation,yellow t shirt construction worker engineer recreation,0.00877193,0.973684211,0.00877193,0.00877193,8000,6039,51,Raised by 51 people in 3 days,0,,11/28/18,12/5/18,6,122
1543713499-1742,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Colin-Business,https://d2g8igdw686xgo.cloudfront.net/_1542638015165959_r.jpg,face person chin nose head forehead jaw ear facial hair,face  people   people   people   people   people  jaw ear  people   _people ,0.953125,0.015625,0.015625,0.015625,2540,762,26,Raised by 26 people in 12 days,   1,https://www.gofundme.com/Colin-Business#updates,11/19/18,12/5/18,15,119
1543712028-1195,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/disabled-mans-business-startup,https://d2g8igdw686xgo.cloudfront.net/32706780_1536137055293572_r.jpeg,text font product brand product presentation,text font product brand product presentation,0.25,0.704545455,0.022727273,0.022727273,10160,0,0,Campaign created 2 months ago,0,,9/5/18,12/5/18,90,0
1543713824-1865,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/MISSEMAC,https://d2g8igdw686xgo.cloudfront.net/22942952_1502469955.3451.jpg,text purple font beauty eyebrow website forehead eyelash brand product,text purple font beauty  people  website  people  eyelash brand product,0.959459459,0.013513514,0.013513514,0.013513514,1500,1500,11,Raised by 11 people in 15 months,0,,8/11/17,12/5/18,480,38
1543713950-1911,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-us-keep-our-businesses-going,https://d2g8igdw686xgo.cloudfront.net/26358772_1513709274.6322.jpg,plant tree leaf branch parrot grass,plant tree leaf branch parrot grass,0.97761194,0.007462687,0.007462687,0.007462687,508,737,19,Raised by 19 people in 11 months,   1,https://www.gofundme.com/help-us-keep-our-businesses-going#updates,12/19/17,12/5/18,350,16
1543713826-1866,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Lisa-sDiner,https://d2g8igdw686xgo.cloudfront.net/25653530_15122256440_r.jpg,structure tree sport venue recreation sports performance,structure tree sport venue recreation sports perfor people ce,0.617647059,0.029411765,0.029411765,0.323529412,5000,2496,51,Raised by 51 people in 12 months,   2,https://www.gofundme.com/Lisa-sDiner#updates,11/26/17,12/5/18,373,432
1543711565-1032,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/seawl,https://d2g8igdw686xgo.cloudfront.net/25876466_1512343237.2302.jpg,green text font product grass advertising logo graphics product banner,green text font product grass advertising logo graphics product banner,0.009615385,0.009615385,0.009615385,0.971153846,2500,2228,156,Raised by 156 people in 12 months,0,,12/3/17,12/5/18,366,130
1543713780-1849,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/simonandpippa,https://d2g8igdw686xgo.cloudfront.net/24247336_1506579346.9113.jpg,eyewear glasses sunglasses vision care selfie smile photography product fun cool, glasses  glasses sunglasses vision  vehicle e selfie  people  photography product fun cool,0.013513514,0.959459459,0.013513514,0.013513514,20000,8880,13,Raised by 13 people in 14 months,   3,https://www.gofundme.com/simonandpippa#updates,9/29/17,12/5/18,431,70
1543713653-1801,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/save-a-small-town-business,https://d2g8igdw686xgo.cloudfront.net/27915076_1519861199.9173.jpg,property home house residential area siding fence real estate cottage picket fence roof,property home house residential area siding fence real estate cottage picket fence roof,0.971153846,0.009615385,0.009615385,0.009615385,30000,5535,60,Raised by 60 people in 9 months,   7,https://www.gofundme.com/save-a-small-town-business#updates,2/28/18,12/5/18,279,376
1543711712-1082,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/smitleyfamily,https://d2g8igdw686xgo.cloudfront.net/32390864_1535166871925835_r.jpg,people photograph photography smile friendship family fun love portrait photography happiness,people photograph photography  people  friendship  people  fun love portrait photography happiness,0.00877193,0.00877193,0.00877193,0.973684211,2000,550,10,Raised by 10 people in 3 months,0,,8/23/18,12/5/18,103,74
1543713667-1806,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/kankakee-valley-bpa-trip-2018,https://d2g8igdw686xgo.cloudfront.net/29394688_15246160310_r.jpeg,green social group film studio technology gentleman musician music fun,green social group film studio technology gentle people  musician music fun,0.971153846,0.009615385,0.009615385,0.009615385,1500,1140,14,Raised by 14 people in 7 months,0,,4/24/18,12/5/18,224,98
1543713257-1653,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/tzxsq2-business,https://d2g8igdw686xgo.cloudfront.net/30175256_15282517060_r.jpeg,lighting window door,lighting window door,0.006493506,0.006493506,0.980519481,0.006493506,5000,3987,39,Raised by 39 people in 5 months,0,,6/5/18,12/5/18,182,146
1543712684-1444,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/pediatric-therapy-business-startup,https://d2g8igdw686xgo.cloudfront.net/28826390_15227251410_r.jpeg,text font line product logo area product diagram brand graphics,text font line product logo area product diagram brand graphics,0.964285714,0.011904762,0.011904762,0.011904762,1200,475,10,Raised by 10 people in 8 months,0,,4/3/18,12/5/18,245,55
1543712514-1378,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/dakotas-small-business,https://d2g8igdw686xgo.cloudfront.net/26631508_1514841545.3734.jpg,chin forehead head hairstyle ear neck jaw, people   people   people   _people style ear neck jaw,0.477272727,0.022727273,0.022727273,0.477272727,1000,145,4,Raised by 4 people in 11 months,   2,https://www.gofundme.com/dakotas-small-business#updates,1/1/18,12/5/18,337,78
1543711800-1109,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ashleyandjess,https://d2g8igdw686xgo.cloudfront.net/32307742_1535248980729186_r.jpg,people girl fun family smile vacation daughter recreation sibling friendship,people  people  fun  people   people  vacation daughter recreation sibling friendship,0.007462687,0.007462687,0.97761194,0.007462687,8500,9250,167,Raised by 167 people in 3 months,0,,8/20/18,12/5/18,106,2500
1543713682-1812,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/canada-helps-puerto-rico-businesses,https://d2g8igdw686xgo.cloudfront.net/24292574_1506730703.553.jpg,t shirt clothing black red sleeve product product text font active shirt,t shirt clothing black red sleeve product product text font active shirt,0.041666667,0.041666667,0.041666667,0.875,30000,7800,41,Raised by 41 people in 14 months,   1,https://www.gofundme.com/canada-helps-puerto-rico-businesses#updates,9/29/17,12/5/18,431,174
1543712021-1192,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/TOPTeam,https://d2g8igdw686xgo.cloudfront.net/32465446_153588370435909_r.jpg,plant tree flora spring sky leaf branch flower shrub blossom,plant tree flora spring sky leaf branch flower shrub blossom,0.011904762,0.011904762,0.726190476,0.25,800,0,0,Campaign created 3 months ago,0,,8/27/18,12/5/18,99,0
